address,city,bedrooms,bathrooms,sqft,price,year_built
14 Maple St,Springfield,3,2,1450,285000,1998
88 Oak Ave,Springfield,4,3,2100,412000,2005
221 Birch Rd,Riverton,2,1,900,165000,1972
5 Cedar Ln,Riverton,3,2,1600,298000,1989
742 Pine Dr,Fairview,5,4,3200,675000,2015
19 Elm St,Springfield,3,2,1500,299500,2001
360 Willow Way,Fairview,4,3,2400,489000,2010
27 Aspen Ct,Riverton,2,2,1100,205000,1995
501 Chestnut Blvd,Fairview,6,5,4100,899000,2019
8 Hickory Pl,Springfield,3,1,1300,255000,1965
64 Sycamore St,Riverton,3,2,1550,310000,1993
150 Poplar Ave,Fairview,4,3,2250,455000,2008
33 Magnolia Dr,Springfield,2,1,950,175000,1970
77 Dogwood Ln,Riverton,4,2,1900,340000,2000
912 Cypress Rd,Fairview,5,3,2900,590000,2012
41 Redwood Ct,Springfield,3,2,1420,272000,1996
6 Juniper Way,Riverton,2,1,880,158000,1968
238 Spruce St,Fairview,4,4,2600,520000,2011
15 Alder Ave,Springfield,3,2,1480,288000,1999
99 Beech Blvd,Riverton,3,2,1620,305000,1991
403 Larch Dr,Fairview,3,2,1750,365000,2003
22 Fir Pl,Springfield,4,3,2050,398000,2007
58 Hazel Ct,Riverton,2,1,920,168000,1975
310 Linden St,Fairview,5,4,3000,615000,2014
71 Walnut Ave,Springfield,3,2,1390,268000,1994
